attack,r10,r12,r42,r48,r72
0,0.0019097628052200941,0.14755225874659436,0.0032953116300603776,0.00033956474461528354,0.2600070249384963
0,0.0020491730385488686,0.157328725670536,0.0036139131511903643,0.00024547115082243124,0.2776207280009167
0,0.001898396369514595,0.14555875503311763,0.00323677521916777,0.0003482103439344236,0.2563844597104299
0,0.001961637799998183,0.15198720487844572,0.003741259401106787,0.0002055232683944028,0.2832450076825977
0,0.0018799178222042184,0.14569377331154162,0.003290290419004181,0.00035579445761557964,0.25677575915799167
0,0.0018991197887284427,0.15343931507397027,0.003969489969848489,0.00017765927902435182,0.2908479948082097
0,0.0018714298600051632,0.14570172034342382,0.0032441739393427953,0.0003484099219387316,0.2565912851399585
0,0.002108713487603431,0.15743721534312693,0.003818514740062362,0.00022642492200074357,0.2805924864261776
0,0.001740703161892291,0.14523455544347613,0.0032969777507860054,0.0002905769665516969,0.2681898472471436
0,0.002146936094427094,0.15642053342403506,0.003699630368886545,0.00024556201707555587,0.2769254255539193
0,0.001841067163971948,0.15256589374243792,0.0033012203572887707,0.00027712415051786446,0.26974849952721003
0,0.0021108200303016824,0.15218515843504715,0.0035849475241413625,0.00029687501049768545,0.26768267901191023
0,0.0017823162845045368,0.1441486548491969,0.0036902799881606252,0.00021795378355335981,0.27131152992526997
0,0.0020257828503845512,0.14964419984316707,0.003390509843502611,0.0003144996533853683,0.2635156117594353
0,0.0016925385977948804,0.14337958044261095,0.00384156786768601,0.0001901710898790789,0.2749504622914734
0,0.0020338393244083,0.1501400046202805,0.003445780652501079,0.00031632934438688176,0.2642275918999493
0,0.0020631280768402416,0.15608686051668397,0.003764802343950225,0.00023216537766023706,0.27786750466611126
0,0.001880270670434729,0.14549342257914197,0.003228397140409608,0.0003430483798349785,0.2566414634586028
0,0.0020054728958733927,0.1537781113085596,0.00375592830524936,0.00018490963706350904,0.2814168057935169
0,0.0018879176198546754,0.14445880471047265,0.003299570918737944,0.00034668981811579176,0.25521621021684576
0,0.002069958296771567,0.1560753241155971,0.0036601393911468274,0.00023348198213820983,0.27520870413476894
0,0.0018203768641923202,0.14600824129030868,0.0031835831347447273,0.0003331959923192757,0.25661882416600085
0,0.0018716885379896628,0.1433791297139348,0.003921715561478909,0.00019561534755209732,0.2684780748393155
0,0.0017486724712352326,0.14213947596552373,0.003342170365828652,0.0003240094113046911,0.25457977123474174
0,0.0018104075487594266,0.14442240527178085,0.004144051751960308,0.00018674451375061803,0.27096109753453135
0,0.001840901079554199,0.14523381260614188,0.003226036794231512,0.00033705033639781274,0.2553982675330364
0,0.002067477120595726,0.1535355048506599,0.003797948945951569,0.0002319627841069888,0.27408133710413235
0,0.0016977997710323812,0.13868992757896148,0.003389900910267205,0.0002825311872136387,0.2559414019920189
0,0.00209085797241415,0.1571910858781209,0.0038479101777414105,0.00022899314065111386,0.27825170776350977
0,0.0017385660339164688,0.14861935707711849,0.0033174109657572856,0.0002850451566025224,0.26343618282420833
0,0.0021576596450913303,0.15303116571914266,0.003667054097288199,0.0002817887316440349,0.26913649185689487
0,0.0015740387901520287,0.13474279546707593,0.003735727038152066,0.00022335259298983772,0.2563363783586929
0,0.0021110159922430012,0.1525173731540224,0.00359452945705923,0.00029591175738408686,0.26809083609239553
0,0.0013460907360045677,0.12892125105717253,0.0037703846811827954,0.0002044413089146619,0.25269507697639904
0,0.0021721256305940384,0.15356161767083373,0.003699521398082281,0.0002808430921439383,0.26994668707678593
0,0.0019129923025843446,0.1518567768373138,0.0036338623902494034,0.00024237724932517712,0.2709831537944328
0,0.002012724464604321,0.14987299264191342,0.003367900836546356,0.00031990061682836516,0.26382295248880694
0,0.0018066760353856195,0.14745607924850015,0.0036359385115669308,0.00019513037903499784,0.27181226865022773
0,0.0020021304036160026,0.149412960301283,0.0034282158748917984,0.00031581082234534544,0.26281387156215386
0,0.0020421652952949242,0.15613737661406799,0.003596191480362042,0.00023008718924889473,0.27531060314605627
0,0.0018730146076571033,0.14589217112277572,0.003294198886593895,0.00035335207729067394,0.2571142741625327
0,0.0018462104319039072,0.14256251742683912,0.003889657300764449,0.0001895820313083399,0.2670606436736732
0,0.001859076803050748,0.1457488955208703,0.0031805956705544696,0.0003524100746556732,0.25662011305658516
0,0.0017462490053193756,0.1394380071149473,0.00402397922230626,0.00016392932154234895,0.2661178636161145
0,0.001871257985008866,0.14624297018613502,0.003187954848203417,0.00035224287218282185,0.2573871259802271
0,0.00202042416584535,0.15454280093782238,0.003694226170335456,0.00023338283716693966,0.2752215724279208
0,0.0018579239584278812,0.14569424771298184,0.0031849532456346653,0.0003484455758898043,0.2566571092090122
